shape,policy,parameter,rounds,urgent_mean_wait,urgent_mean_wait_sd,urgent_p95_wait,urgent_p95_wait_sd,background_max_wait,background_max_wait_sd,background_slowdown,background_slowdown_sd,max_unserved_seconds,max_unserved_seconds_sd,frontier
uniform,fifo,0,10,38.325551514403315,6.61572508967559,72.97919995513332,9.77204502449558,76.69243820064237,11.836621446708326,20.30776606187406,4.168786489774796,32.79371424158407,5.136989168595556,False
uniform,priority,0,10,1.9950910048406383,1.1584196849384376,5.086130652310731,2.925101587414455,87.99700111605108,7.712110487626038,26.938844783180667,5.108368455709749,73.57902913455644,10.172297253683507,False
uniform,aging,2,10,38.29373668320768,6.624837100955284,72.97919995513332,9.77204502449558,76.69243820064237,11.836621446708326,20.313497056026105,4.165895411013111,32.79371424158407,5.136989168595556,False
uniform,aging,4,10,38.18745113868684,6.57157427479604,72.97919995513332,9.77204502449558,76.69243820064237,11.836621446708326,20.336362690849942,4.164474276112287,32.79371424158407,5.136989168595556,False
uniform,aging,8,10,37.715695769872646,6.527402805217411,72.97919995513332,9.77204502449558,76.69243820064237,11.836621446708326,20.421108006845223,4.173542322193898,32.82383019144506,5.106555717340275,False
uniform,aging,16,10,35.9985975430221,6.6262597366872535,72.97919995513332,9.77204502449558,76.69243820064237,11.836621446708326,20.740483839529713,4.168777516376892,33.42383019144506,4.232233969474502,True
uniform,linear,0.25,10,1.9950910048406383,1.1584196849384376,5.086130652310731,2.925101587414455,81.54933933268698,10.587723524953876,26.710666053697594,5.219142512304854,44.6634266913752,10.967569463822098,True
uniform,linear,1,10,15.138104956832919,3.477847535847077,43.53330937450305,10.90174980613668,79.3555603185628,11.080023663834536,24.36585852047412,4.866561403268171,31.749917269444616,7.466703256691198,True
uniform,linear,4,10,31.44608010861612,5.56228085803546,66.51578843136325,10.524125291461385,77.52883343560198,11.473242414270183,21.521468398849983,4.40097114468606,33.79515691715076,6.347043446205511,True
uniform,linear,16,10,36.213871244209116,6.204904069914719,70.91578843136325,10.059935866700199,77.06800767806247,11.423581460608526,20.678651700310443,4.2566634978413935,33.425272867011756,5.555889409220834,False
long_tail,fifo,0,10,74.97047558696718,13.799341826402603,139.58604907253664,19.48398314552117,148.39031285035495,23.361436678585797,47.554033270837245,8.272727197885555,52.16509940585144,11.253351030613526,False
long_tail,priority,0,10,5.828008590243746,1.9449562967191558,12.813154223638804,3.716641385641074,155.42096557697008,20.36775964706083,60.52528954749186,11.821925442985902,122.4559290959778,26.811506606141737,True
long_tail,aging,2,10,74.97047558696718,13.799341826402603,139.58604907253664,19.48398314552117,148.39031285035495,23.361436678585797,47.540898350202326,8.249771486776396,52.16509940585144,11.253351030613526,False
long_tail,aging,4,10,74.75473443157085,13.657336893723947,139.58604907253664,19.48398314552117,148.39031285035495,23.361436678585797,47.5538567879634,8.254524256575024,52.16509940585144,11.253351030613526,False
long_tail,aging,8,10,74.53099682758557,13.792240591180414,139.58604907253664,19.48398314552117,148.39031285035495,23.361436678585797,47.57587808528418,8.25963962993687,52.16509940585144,11.253351030613526,False
long_tail,aging,16,10,73.00381352585119,14.540648521203119,139.58604907253664,19.48398314552117,148.39031285035495,23.361436678585797,47.77274392347213,8.293295435891682,52.243421065971546,10.827670775440932,False
long_tail,linear,0.25,10,5.861276251375185,1.9258424121829727,12.783483692013343,3.7617039377958226,153.51033167859214,20.41027859141537,61.58131337955097,11.81353218052607,87.25550076459784,23.827878156152984,True
long_tail,linear,1,10,41.32331994626611,12.35187492786276,98.09059282003429,23.472957566472278,151.11742242179656,21.079952176401367,54.66786962908417,9.306152557539214,55.07217196934669,14.172406906114992,True
long_tail,linear,4,10,65.63045344335157,13.559706757902973,131.37965258811948,19.952723835833762,149.86648093532085,21.828504055104712,49.446476507840934,8.537723876693095,53.25293883953995,13.699760164107058,True
long_tail,linear,16,10,72.65480373595423,13.79360737238568,137.5868640218018,19.460862714372748,148.3446658683195,23.205056444236728,48.05428745321178,8.369092881637888,53.46509940585144,12.5361045489418,True
